Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Disease,Critical
Frequent Urination,Fever,Frequent Infection,Rashes,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Tired,Swollen genitals,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Headache,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Headache,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Urge to urinate,Frequent Infection,Bloody diarrhea,NIL,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Tired,Frequent Infection,NIL,Seizures,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Fever,Frequent Infection,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Tired,Muscle Aches,Swollen testicles,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Painful Urination,Tired,Anal Itching and Pain,Rashes,NIL,Typhoid,Critical
Painful Urination,Tired,Frequent Infection,NIL,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,Confusion,Gonorrhea,Critical
"Yellow,green discharge",Tired,Abdominal Pain,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,NIL,Gonorrhea,Critical
Difficulties in stooling,Hunger,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Hunger,Blurred Vision,Bloody diarrhea,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Tired,Abdominal Pain,Rose spots,NIL,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Frequent Urination,Fever,Headache,Rashes,Disorientation,Diabetes,Critical
Frequent Urination,Hunger,Muscle Aches,Rashes,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Fever,Blurred Vision,NIL,Confusion,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Disorientation,Gonorrhea,Critical
Frequent Urination,Fever,Headache,Swollen testicles,Seizures,Diabetes,Critical
Frequent Urination,Hunger,Frequent Infection,Swollen testicles,NIL,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rose spots,NIL,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Rose spots,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,NIL,Confusion,Diabetes,Critical
Frequent Urination,Fever,Blurred Vision,Rose spots,NIL,Diabetes,Critical
